team,name,role,age,batting_style,bowling_style,image_url
Bangladesh,Mahedi Hasan,Allrounder,29y 154d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65473.png
Bangladesh,Mahmudullah,Allrounder,38y 100d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/3956.png
Bangladesh,Mustafizur Rahman,Bowler,28y 251d,Left hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63881.png
Bangladesh,Najmul Hossain Shanto,Top order Batter,25y 263d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63872.png
Bangladesh,Rishad Hossain,Bowler,21y 304d,Right hand Bat,Legbreak Googly,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70203.png
Bangladesh,Shakib Al Hasan,Allrounder,37y 51d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/3782.png
Bangladesh,Shoriful Islam,Bowler,22y 346d,Left hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66332.png
Bangladesh,Soumya Sarkar,Batting Allrounder,31y 79d,Left hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/61831.png
Bangladesh,Tanvir Islam,Bowler,27y 202d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67289.png
Bangladesh,Tanzid Hasan,Opening Batter,23y 165d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70206.png
Bangladesh,Tanzim Hasan Sakib,Bowler,21y 207d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70921.png
Bangladesh,Taskin Ahmed,Bowler,29y 41d,Left hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58314.png
Bangladesh,Towhid Hridoy,Top order Batter,23y 162d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67719.png
Canada,Aaron Johnson,Batter,33y 47d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/96075.png
Canada,Dilon Heyliger,Bowler,34y 194d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68432.png
Canada,Dilpreet Bajwa,Allrounder,21y 97d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/98211.png
Canada,Harsh Thaker,Allrounder,26y 191d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/366400/366411.3.png"
Canada,Jeremy Gordon,Bowler,37y 103d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/55230.png
Canada,Junaid Siddiqui,Allrounder,39y 38d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/56962.png
Canada,Kaleem Sana,Bowler,30y 122d,Right hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/21948.png
Canada,Navneet Dhaliwal,Middle order Batter,35y 205d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65267.png
Canada,Nicholas Kirton,Batting Allrounder,25y 362d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68433.png
Canada,Nikhil Dutta,Bowler,29y 202d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63736.png
Canada,Pargat Singh,Allrounder,32y 19d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/80359.png
Canada,Ravinderpal Singh,Batter,35y 201d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/71753.png
Canada,Rayyan Pathan,Batting Allrounder,32y 148d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63737.png
Canada,Rishiv Joshi,Bowler,23y 180d,Right hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68110.png
Canada,Saad Bin Zafar,Allrounder,37y 174d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/40433.png
Canada,Shreyas Movva,Wicketkeeper Batter,30y 241d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/73924.png
England,Adil Rashid,Bowler,36y 73d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4661.png
England,Ben Duckett,Top order Batter,29y 196d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63082.png
England,Chris Jordan,Bowler,35y 209d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/26718.png
England,Harry Brook,Batter,25y 68d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66374.png
England,Jofra Archer,Bowler,29y 29d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64254.png
England,Jonny Bairstow,Wicketkeeper Batter,34y 217d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/19394.png
England,Jos Buttler,Wicketkeeper Batter,33y 235d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9782.png
England,Liam Livingstone,Batting Allrounder,30y 270d,Right hand Bat,"Right arm Offbreak, Legbreak",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63940.png
England,Mark Wood,Bowler,34y 110d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57871.png
England,Moeen Ali,Batting Allrounder,36y 317d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4688.png
England,Phil Salt,Wicketkeeper Batter,27y 246d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65632.png
England,Reece Topley,Bowler,30y 69d,Right hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58101.png
England,Sam Curran,Allrounder,25y 332d,Left hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65584.png
England,Tom Hartley,Bowler,24y 363d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/72715.png
England,Will Jacks,Batting Allrounder,25y 161d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66927.png
India,Arshdeep Singh,Bowler,25y 85d,Left hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67905.png
India,Axar Patel,Allrounder,30y 101d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/62576.png
India,Hardik Pandya,Allrounder,30y 202d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63751.png
India,Jasprit Bumrah,Bowler,30y 146d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63755.png
India,Kuldeep Yadav,Bowler,29y 138d,Left hand Bat,Left arm Wrist spin,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63187.png
India,Mohammed Siraj,Bowler,30y 48d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65799.png
India,Ravindra Jadeja,Allrounder,35y 146d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/3850.png
India,Rishabh Pant,Wicketkeeper Batter,26y 209d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65756.png
India,Rohit Sharma,Top order Batter,37y,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/3852.png
India,Sanju Samson,Wicketkeeper Batter,29y 171d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/61837.png
India,Shivam Dube,Allrounder,30y 309d,Left hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66044.png
India,Suryakumar Yadav,Batter,33y 229d,Right hand Bat,"Right arm Medium, Right arm Offbreak",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11803.png
India,Virat Kohli,Top order Batter,35y 177d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/3993.png
India,Yashasvi Jaiswal,Opening Batter,22y 124d,Left hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69238.png
India,Yuzvendra Chahal,Bowler,33y 282d,Right hand Bat,Legbreak Googly,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9844.png
Ireland,Andy Balbirnie,Batter,33y 131d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4454.png
Ireland,Barry McCarthy,Bowler,31y 237d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63157.png
Ireland,Ben White,Bowler,25y 252d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/24825.png
Ireland,Craig Young,Bowler,34y 33d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59442.png
Ireland,Curtis Campher,Allrounder,25y 17d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67442.png
Ireland,Gareth Delany,Batting Allrounder,27y 9d,Right hand Bat,Legbreak Googly,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67568.png
Ireland,George Dockrell,Allrounder,31y 290d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9694.png
Ireland,Graham Hume,Bowler,33y 166d,Left hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10138.png
