team,name,role,age,batting_style,bowling_style,image_url
Netherlands,Scott Edwards,Wicketkeeper Batter,27y 264d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67919.png
Netherlands,Sybrand Engelbrecht,Allrounder,35y 241d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4359.png
Netherlands,Teja Nidamanuru,Allrounder,29y 265d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68002.png
Netherlands,Tim Pringle,Allrounder,21y 258d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/72579.png
Netherlands,Vikramjit Singh,Opening Batter,21y 125d,Left hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/73256.png
Netherlands,Vivian Kingma,Bowler,29y 203d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63937.png
Netherlands,Wesley Barresi,Batter,40y 10d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9876.png
New Zealand,Daryl Mitchell,Batting Allrounder,32y 345d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57444.png
New Zealand,Devon Conway,Wicketkeeper Batter,32y 296d,Left hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/13177.png
New Zealand,Finn Allen,Top order Batter,25y 7d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66046.png
New Zealand,Glenn Phillips,Allrounder,27y 145d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65295.png
New Zealand,Ish Sodhi,Bowler,31y 181d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57625.png
New Zealand,James Neesham,Batting Allrounder,33y 225d,Left hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10172.png
New Zealand,Kane Williamson,Top order Batter,33y 265d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4330.png
New Zealand,Lockie Ferguson,Bowler,32y 321d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63719.png
New Zealand,Mark Chapman,Allrounder,29y 307d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60536.png
New Zealand,Matt Henry,Bowler,32y 137d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60544.png
New Zealand,Michael Bracewell,Batting Allrounder,33y 75d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/62325.png
New Zealand,Mitchell Santner,Bowling Allrounder,32y 84d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57903.png
New Zealand,Rachin Ravindra,Batting Allrounder,24y 163d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66053.png
New Zealand,Tim Southee,Bowler,35y 140d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4235.png
New Zealand,Trent Boult,Bowler,34y 282d,Right hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4338.png
Oman,Aqib Ilyas,Top order Batter,31y 239d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66873.png
Oman,Ayaan Khan,Allrounder,31y 245d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65943.png
Oman,Bilal Khan,Bowler,37y 21d,Left hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/28370.png
Oman,Fayyaz Butt,Bowler,30y 258d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59325.png
Oman,Kaleemullah,Bowler,33y 129d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66876.png
Oman,Kashyap Prajapati,Top order Batter,28y 203d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87546.png
Oman,Khalid Kail,Middle order Batter,27y 201d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87543.png
Oman,Mehran Khan,Batter,37y 18d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65603.png
Oman,Mohammad Nadeem,Allrounder,41y 240d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/26709.png
Oman,Naseem Khushi,Wicketkeeper,41y 264d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66878.png
Oman,Pratik Athavale,Wicketkeeper Batter,27y 11d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90720.png
Oman,Rafiullah,Bowler,27y 259d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87398.png
Oman,Shakeel Ahmed,Bowler,36y 87d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90742.png
Oman,Shoaib Khan,Batter,31y 147d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87397.png
Oman,Zeeshan Maqsood,Opening Batter,36y 190d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65594.png
Pakistan,Abbas Afridi,Bowler,23y 49d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69965.png
Pakistan,Abrar Ahmed,Bowler,25y 256d,Right hand Bat,Legbreak Googly,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66884.png
Pakistan,Azam Khan,Wicketkeeper Batter,25y 288d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/46260.png
Pakistan,Babar Azam,Batter,29y 222d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59429.png
Pakistan,Fakhar Zaman,Opening Batter,34y 44d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57492.png
Pakistan,Haris Rauf,Bowler,30y 199d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70326.png
Pakistan,Iftikhar Ahmed,Middle order Batter,33y 264d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/24437.png
Pakistan,Imad Wasim,Allrounder,35y 158d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11025.png
Pakistan,Mohammad Amir,Bowler,32y 41d,Left hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/7768.png
Pakistan,Mohammad Rizwan,Wicketkeeper Batter,31y 358d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/20286.png
Pakistan,Naseem Shah,Bowler,21y 99d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69956.png
Pakistan,Saim Ayub,Top order Batter,22y,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70241.png
Pakistan,Shadab Khan,Allrounder,25y 233d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65739.png
Pakistan,Shaheen Shah Afridi,Bowler,24y 48d,Left hand Bat,Left arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66833.png
Pakistan,Usman Khan,Top order Batter,29y 14d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67777.png
Papua New Guinea,Alei Nao,Bowler,30y 151d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63123.png
Papua New Guinea,Assad Vala,Batter,36y 277d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58613.png
Papua New Guinea,Chad Soper,Bowler,32y 171d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63207.png
Papua New Guinea,Charles Amini,Allrounder,32y 24d,Left hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4412.png
Papua New Guinea,Hila Vare,Batter,22y 272d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/95589.png
Papua New Guinea,Hiri Hiri,Middle order Batter,29y 7d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64609.png
Papua New Guinea,Jack Gardner,Bowler,23y 137d,N/A,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87603.png
Papua New Guinea,John Kariko,Bowler,20y 113d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90885.png
Papua New Guinea,Kabua Morea,Bowler,30y 221d,Right hand Bat,Left arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63135.png
Papua New Guinea,Kiplin Doriga,Wicketkeeper Batter,28y 203d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64604.png
Papua New Guinea,Lega Siaka,Opening Batter,31y 139d,Right hand Bat,"Right arm Fast medium, Legbreak",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60058.png
Papua New Guinea,Norman Vanua,Bowler,30y 158d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63137.png
Papua New Guinea,Semo Kamea,Bowler,22y 261d,Left hand Bat,Left arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68129.png
Papua New Guinea,Sese Bau,Middle order Batter,31y 320d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/61329.png
Papua New Guinea,Tony Ura,Opening Batter,34y 206d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4434.png
Scotland,Brad Currie,Bowler,25y 180d,Right hand Bat,Left arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/93065.png
Scotland,Brad Wheal,Bowler,27y 252d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65564.png
Scotland,Brandon McMullen,Batting Allrounder,24y 201d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/97960.png
Scotland,Charlie Tear,Wicketkeeper Batter,19y 329d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87903.png
Scotland,Chris Greaves,Bowler,33y 207d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/71106.png
Scotland,Chris Sole,Bowler,30y 69d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64634.png
Scotland,George Munsey,Opening Batter,31y 75d,Left hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64957.png
Scotland,Jack Jarvis,Bowler,20y 343d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87875.png
Scotland,Mark Watt,Bowler,27y 282d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64635.png
Scotland,Matthew Cross,Wicketkeeper Batter,31y 204d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63122.png
Scotland,Michael Jones,Top order Batter,26y 122d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/62804.png
Scotland,Michael Leask,Allrounder,33y 190d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63917.png
Scotland,Ollie Hairs,Opening Batter,33y 22d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11929.png
Scotland,Richie Berrington,Top order Batter,37y 33d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4023.png
Scotland,Safyaan Sharif,Bowler,32y 348d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/56957.png
South Africa,Aiden Markram,Opening Batter,29y 209d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64219.png
South Africa,Anrich Nortje,Bowler,30y 166d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63641.png
South Africa,Bjorn Fortuin,Bowler,29y 192d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64282.png
South Africa,David Miller,Middle order Batter,34y 325d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/5313.png
South Africa,Gerald Coetzee,Bowler,23y 211d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67443.png
South Africa,Heinrich Klaasen,Wicketkeeper Batter,32y 275d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59736.png
South Africa,Kagiso Rabada,Bowler,28y 341d,Left hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63611.png
South Africa,Keshav Maharaj,Bowler,34y 83d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/48607.png
South Africa,Marco Jansen,Bowling Allrounder,23y 365d,Right hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69409.png
South Africa,Ottneil Baartman,Bowler,31y 43d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65089.png
South Africa,Quinton de Kock,Wicketkeeper Batter,31y 135d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/28035.png
South Africa,Reeza Hendricks,Opening Batter,34y 260d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4356.png
South Africa,Ryan Rickelton,Wicketkeeper Batter,27y 294d,Left hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64941.png
South Africa,Tabraiz Shamsi,Bowler,34y 72d,Right hand Bat,Left arm Wrist spin,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/48191.png
South Africa,Tristan Stubbs,Batter,23y 260d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/74761.png
Sri Lanka,Angelo Mathews,Allrounder,36y 342d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/5244.png
Sri Lanka,Charith Asalanka,Batting Allrounder,26y 315d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65038.png
Sri Lanka,Dasun Shanaka,Allrounder,32y 243d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59067.png
Sri Lanka,Dhananjaya de Silva,Allrounder,32y 246d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57440.png
Sri Lanka,Dilshan Madushanka,Bowler,23y 234d,Right hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70764.png
Sri Lanka,Dunith Wellalage,Bowler,21y 121d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69651.png
Sri Lanka,Dushmantha Chameera,Bowler,32y 119d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58065.png
Sri Lanka,Kamindu Mendis,Allrounder,25y 222d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65034.png
Sri Lanka,Kusal Mendis,Wicketkeeper Batter,29y 97d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63882.png
Sri Lanka,Maheesh Theekshana,Bowler,23y 282d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69274.png
Sri Lanka,Matheesha Pathirana,Bowler,21y 143d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/73830.png
Sri Lanka,Nuwan Thushara,Bowler,29y 277d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66158.png
Sri Lanka,Pathum Nissanka,Top order Batter,25y 357d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66368.png
Sri Lanka,Sadeera Samarawickrama,Wicketkeeper Batter,28y 253d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63897.png
Sri Lanka,Wanindu Hasaranga,Allrounder,26y 285d,Right hand Bat,Legbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65027.png
Uganda,Alpesh Ramjani,Allrounder,29y 225d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68495.png
Uganda,Bilal Hassan,Bowler,34y 21d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69981.png
Uganda,Brian Masaba,Bowler,32y 227d,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59037.png
Uganda,Cosmas Kyewuta,Bowler,22y 130d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/85103.png
Uganda,Dinesh Nakrani,Allrounder,32y 228d,Left hand Bat,Left arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64770.png
Uganda,Frank Nsubuga,Allrounder,43y 252d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4093.png
Uganda,Fred Achelam,Wicketkeeper Batter,23y 100d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69979.png
Uganda,Henry Ssenyondo,Bowler,30y 268d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59769.png
Uganda,Juma Miyagi,Bowler,21y 31d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90644.png
Uganda,Kenneth Waiswa,Allrounder,25y 177d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69984.png
Uganda,Riazat Ali Shah,Batting Allrounder,26y 76d,Right hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69983.png
Uganda,Robinson Obuya,Batter,23y 146d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/74214.png
Uganda,Roger Mukasa,Batter,34y 350d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/7778.png
Uganda,Ronak Patel,Batter,35y 262d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/74205.png
Uganda,Simon Ssesazi,Wicketkeeper Batter,27y 260d,Left hand Bat,Right arm Slow,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/85104.png
United States of America,Aaron Jones,Top order Batter,29y 197d,Right hand Bat,Legbreak Googly,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66237.png
United States of America,Ali Khan,Bowler,33y 142d,Right hand Bat,Right arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66244.png
United States of America,Andries Gous,Wicketkeeper Batter,30y 161d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57274.png
United States of America,Corey Anderson,Batting Allrounder,33y 142d,Left hand Bat,Left arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4332.png
United States of America,Harmeet Singh,Bowling Allrounder,31y 239d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/36489.png
United States of America,Jasdeep Singh,Bowler,31y 83d,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383212.1.png"
United States of America,Milind Kumar,Allrounder,33y 78d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/14885.png
United States of America,Monank Patel,Wicketkeeper Batter,31y 2d,Right hand Bat,N/A,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70336.png
United States of America,Nisarg Patel,Allrounder,36y 13d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11197.png
United States of America,Nitish Kumar,Top order Batter,29y 348d,Right hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9683.png
United States of America,Nosthush Kenjige,Bowler,33y 62d,Right hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67389.png
United States of America,Saurabh Netravalkar,Bowler,32y 200d,Right hand Bat,Left arm Fast medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63509.png
United States of America,Shadley van Schalkwyk,Allrounder,35y 272d,Left hand Bat,Right arm Medium,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9795.png
United States of America,Shayan Jahangir,Batter,29y 131d,Right hand Bat,Right arm Medium fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64154.png
United States of America,Steven Taylor,Opening Batter,30y 176d,Left hand Bat,Right arm Offbreak,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10154.png
West Indies,Akeal Hosein,Bowler,31y 8d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57239.png
West Indies,Alzarri Joseph,Bowler,27y 165d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64264.png
West Indies,Andre Russell,Allrounder,36y 4d,Right hand Bat,Right arm Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/12047.png
West Indies,Brandon King,Top order Batter,29y 139d,Right hand Bat,N/A,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321983.1.png"
West Indies,Gudakesh Motie,Bowler,29y 35d,Left hand Bat,Slow Left arm Orthodox,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64262.png
West Indies,Jason Holder,Bowling Allrounder,32y 180d,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316673.1.png"
